

/Gem Systems GSM-19GW 9013065 v7.0 8 XII 2008 M ew5fpl.v7s                         
/ID 1 file 05survey.b   15 II 00
/datum  57000.00
/
/time nT sq 
011032.0  32602.14 99 
011042.0  32601.95 99 
011052.0  32602.11 99 
011102.0  32602.09 99 
011112.0  32602.66 99 
011122.0  32602.62 99 
011132.0  32602.86 99 
011142.0  32603.45 99 
011152.0  32602.74 99 
011202.0  32602.74 99 
011212.0  00000.00 01 
011222.0  00000.00 00 
011232.0  00000.00 01 
011242.0  32602.81 99 
011252.0  32602.85 99 
011302.0  32602.81 99 
011312.0  32602.77 99 
011322.0  32602.71 99 
011332.0  32602.75 99 
011342.0  32599.59 99 
011352.0  32601.77 99 
011402.0  32601.76 99 
011412.0  32601.69 99 
011422.0  32602.01 99 
011432.0  32605.01 99 
011442.0  32605.19 99 
011452.0  32605.81 99 
011502.0  32605.80 99 
011512.0  32605.88 99 
011522.0  32606.01 99 
011532.0  32606.11 99 
011542.0  32606.20 99 
011552.0  32606.17 99 
011602.0  32606.10 99 
011612.0  32605.81 99 
011622.0  32605.89 99 
011632.0  32606.98 99 
011642.0  32607.04 99 
011652.0  32606.63 99 
011702.0  32605.87 99 
011712.0  32606.02 99 
011722.0  32606.11 99 
011732.0  32605.98 99 
011742.0  32605.97 99 
011752.0  32605.99 99 
011802.0  32606.03 99 
011812.0  32606.20 99 
011822.0  32606.31 99 
011832.0  32606.32 99 
011842.0  32606.25 99 
011852.0  32606.24 99 
011902.0  32606.35 99 
011912.0  32606.37 99 
011922.0  32606.36 99 
011932.0  32606.36 99 
011942.0  32606.30 99 
011952.0  32606.30 99 
012002.0  32606.35 99 
012012.0  32606.47 99 
012022.0  32606.48 99 
012032.0  32606.56 99 
012042.0  32606.59 99 
012052.0  32606.55 99 
012102.0  32606.55 99 
012112.0  32606.62 99 
012122.0  32606.59 99 
012132.0  32606.64 99 
012142.0  32606.66 99 
012152.0  32606.69 99 
012202.0  32606.75 99 
012212.0  32606.78 99 
012222.0  32606.69 99 
012232.0  32606.75 99 
012242.0  32606.68 99 
012252.0  32606.66 99 
012302.0  32606.66 99 
012312.0  32606.64 99 
012322.0  32606.66 99 
012332.0  32606.78 99 
012342.0  32606.79 99 
012352.0  32606.79 99 
012402.0  32606.80 99 
012412.0  32606.83 99 
012422.0  32606.87 99 
012432.0  32606.91 99 
012442.0  32606.94 99 
012452.0  32606.92 99 
012502.0  32606.85 99 
012512.0  32606.84 99 
012522.0  32606.88 99 
012532.0  32606.95 99 
012542.0  32606.97 99 
012552.0  32606.91 99 
012602.0  32606.86 99 
012612.0  32606.93 99 
012622.0  32606.99 99 
012632.0  32607.05 99 
012642.0  32607.08 99 
012652.0  32607.06 99 
012702.0  32607.10 99 
012712.0  32607.22 99 
012722.0  32607.28 99 
012732.0  32607.38 99 
012742.0  32607.31 99 
012752.0  32607.44 99 
012802.0  32607.41 99 
012812.0  32607.32 99 
012822.0  32607.35 99 
012832.0  32607.43 99 
012842.0  32607.52 99 
012852.0  32607.42 99 
012902.0  32607.50 99 
012912.0  32607.50 99 
012922.0  32607.49 99 
012932.0  32607.56 99 
012942.0  32607.55 99 
012952.0  32607.61 99 
013002.0  32607.68 99 
013012.0  32607.73 99 
013022.0  32607.71 99 
013032.0  32607.78 99 
013042.0  32607.80 99 
013052.0  32607.75 99 
013102.0  32607.67 99 
013112.0  32607.77 99 
013122.0  32607.75 99 
013132.0  32607.71 99 
013142.0  32607.78 99 
013152.0  32607.81 99 
013202.0  32607.82 99 
013212.0  32607.85 99 
013222.0  32607.90 99 
013232.0  32607.92 99 
013242.0  32607.90 99 
013252.0  32607.92 99 
013302.0  32607.83 99 
013312.0  32607.97 99 
013322.0  32607.90 99 
013332.0  32607.85 99 
013342.0  32607.85 99 
013352.0  32607.91 99 
013402.0  32607.95 99 
013412.0  32608.01 99 
013422.0  32608.07 99 
013432.0  32608.04 99 
013442.0  32608.01 99 
013452.0  32608.00 99 
013502.0  32607.91 99 
013512.0  32607.87 99 
013522.0  32607.98 99 
013532.0  32607.88 99 
013542.0  32607.95 99 
013552.0  32607.94 99 
013602.0  32607.86 99 
013612.0  32607.85 99 
013622.0  32607.81 99 
013632.0  32607.86 99 
013642.0  32607.94 99 
013652.0  32607.95 99 
013702.0  32607.92 99 
013712.0  32607.90 99 
013722.0  32607.99 99 
013732.0  32607.94 99 
013742.0  32607.98 99 
013752.0  32607.98 99 
013802.0  32607.90 99 
013812.0  32608.06 99 
013822.0  32608.07 99 
013832.0  32608.20 99 
013842.0  32608.18 99 
013852.0  32608.20 99 
013902.0  32608.29 99 
013912.0  32608.28 99 
013922.0  32608.36 99 
013932.0  32608.36 99 
013942.0  32608.44 99 
013952.0  32608.40 99 
014002.0  32608.46 99 
014012.0  32608.55 99 
014022.0  32608.52 99 
014032.0  32608.42 99 
014042.0  32608.61 99 
014052.0  32608.52 99 
014102.0  32608.69 99 
014112.0  32608.64 99 
014122.0  32608.58 99 
014132.0  32608.63 99 
014142.0  32608.71 99 
014152.0  32608.78 99 
014202.0  32608.83 99 
014212.0  32608.84 99 
014222.0  32608.79 99 
014232.0  32608.85 99 
014242.0  32608.92 99 
014252.0  32608.95 99 
014302.0  32609.06 99 
014312.0  32609.02 99 
014322.0  32609.03 99 
014332.0  32608.98 99 
014342.0  32609.02 99 
014352.0  32609.11 99 
014402.0  32609.08 99 
014412.0  32609.07 99 
014422.0  32609.00 99 
014432.0  32609.02 99 
014442.0  32609.01 99 
014452.0  32609.11 99 
014502.0  32609.10 99 
014512.0  32609.15 99 
014522.0  32609.14 99 
014532.0  32609.18 99 
014542.0  32609.06 99 
014552.0  32609.07 99 
014602.0  32609.11 99 
014612.0  32609.16 99 
014622.0  32609.06 99 
014632.0  32609.16 99 
014642.0  32609.11 99 
014652.0  32609.20 99 
014702.0  32609.18 99 
014712.0  32609.22 99 
014722.0  32609.23 99 
014732.0  32609.18 99 
014742.0  32609.22 99 
014752.0  32609.29 99 
014802.0  32609.23 99 
014812.0  32609.32 99 
014822.0  32609.33 99 
014832.0  32609.22 99 
014842.0  32609.34 99 
014852.0  32609.31 99 
014902.0  32609.32 99 
014912.0  32609.31 99 
014922.0  32609.35 99 
014932.0  32609.26 99 
014942.0  32609.39 99 
014952.0  32609.36 99 
015002.0  32609.29 99 
015012.0  32609.39 99 
015022.0  32609.30 99 
015032.0  32609.36 99 
015042.0  32609.39 99 
015052.0  32609.34 99 
015102.0  32609.37 99 
015112.0  32609.44 99 
015122.0  32609.44 99 
015132.0  32609.43 99 
015142.0  32609.51 99 
015152.0  32609.45 99 
015202.0  32609.49 99 
015212.0  32609.54 99 
015222.0  32609.52 99 
015232.0  32609.49 99 
015242.0  32609.57 99 
015252.0  32609.59 99 
015302.0  32609.56 99 
015312.0  32609.56 99 
015322.0  32609.57 99 
015332.0  32609.52 99 
015342.0  32609.56 99 
015352.0  32609.62 99 
015402.0  32609.59 99 
015412.0  32609.69 99 
015422.0  32609.70 99 
015432.0  32609.66 99 
015442.0  32609.61 99 
015452.0  32609.60 99 
015502.0  32609.67 99 
015512.0  32609.70 99 
015522.0  32609.79 99 
015532.0  32609.62 99 
015542.0  32609.65 99 
015552.0  32609.66 99 
015602.0  32609.72 99 
015612.0  32609.64 99 
015622.0  32609.67 99 
015632.0  32609.74 99 
015642.0  32609.76 99 
015652.0  32609.69 99 
015702.0  32609.67 99 
015712.0  32609.74 99 
015722.0  32609.68 99 
015732.0  32609.65 99 
015742.0  32609.65 99 
