

/Gem Systems GSM-19GW 9013065 v7.0 8 XII 2008 M ew5fpl.v7s                         
/ID 1 file 01survey.wg  15 II 00
/00112 sensor distance cm 
/X Y nT nT/m sq cor-nT time picket-x picket-y 
 0  0  33257.05  9999.99 29 * 000556.0  0  0 
 0  0  33258.65  9999.99 29 * 000558.0 * * 
 0  0  33257.57  9999.99 29 * 000600.0 * * 
 0  0  33257.29  9999.99 29 * 000602.0 * * 
 0  0  33256.79  9999.99 29 * 000604.0 * * 
 0  0  33257.56  9999.99 29 * 000606.0 * * 
 0  0  33257.08  9999.99 29 * 000608.0 * * 
 0  0  33256.91  9999.99 29 * 000610.0 * * 
 0  0  33255.14  9999.99 29 * 000612.0 * * 
 0  0  33255.93  9999.99 29 * 000614.0 * * 
 0  0  33255.72  9999.99 29 * 000616.0 * * 
 0  0  33255.51  9999.99 29 * 000618.0 * * 
 0  0  33254.70  9999.99 29 * 000620.0 * * 
 0  0  33254.94  9999.99 29 * 000622.0 * * 
 0  0  33255.15  9999.99 29 * 000624.0 * * 
 0  0  33255.71  9999.99 29 * 000626.0 * * 
 0  0  33255.64  9999.99 29 * 000628.0 * * 
 0  0  33256.14  9999.99 29 * 000630.0 * * 
 0  0  33255.05  9999.99 29 * 000632.0 * * 
 0  0  33256.44  9999.99 29 * 000634.0 * * 
 0  0  33254.59  9999.99 29 * 000636.0 * * 
 0  0  33255.11  9999.99 29 * 000638.0 * * 
 0  0  33254.56  9999.99 29 * 000640.0 * * 
 0  0  33256.13  9999.99 29 * 000642.0 * * 
 0  0  33253.74  9999.99 29 * 000644.0 * * 
 0  0  33256.23  9999.99 29 * 000646.0 * * 
 0  0  33255.05  9999.99 29 * 000648.0 * * 
 0  0  33254.73  9999.99 29 * 000650.0 * * 
 0  0  33255.17  9999.99 29 * 000652.0 * * 
 0  0  33256.10  9999.99 29 * 000654.0 * * 
 0  0  33255.99  9999.99 29 * 000656.0 * * 
 0  0  33255.16  9999.99 29 * 000658.0 * * 
 0  0  33255.51  9999.99 29 * 000700.0 * * 
 0  0  33254.96  9999.99 29 * 000702.0 * * 
 0  0  33255.74  9999.99 29 * 000704.0 * * 
 0  0  33256.47  9999.99 29 * 000706.0 * * 
 0  0  33255.42  9999.99 29 * 000708.0 * * 
 0  0  33254.92  9999.99 29 * 000710.0 * * 
 0  0  33255.39  9999.99 29 * 000712.0 * * 
 0  0  33255.55  9999.99 29 * 000714.0 * * 
 0  0  33255.22  9999.99 29 * 000716.0 * * 
 0  0  33256.66  9999.99 29 * 000718.0 * * 
 0  0  33255.87  9999.99 29 * 000720.0 * * 
 0  0  33256.42  9999.99 29 * 000722.0 * * 
 0  0  33255.80  9999.99 29 * 000724.0 * * 
 0  0  33255.14  9999.99 29 * 000726.0 * * 
 0  0  33256.57  9999.99 29 * 000728.0 * * 
 0  0  33256.44  9999.99 29 * 000730.0 * * 
/ 000820.0 ((
 0  0  33257.55  9999.99 29 * 000834.0 * * 
 0  0  33254.09  9999.99 29 * 000836.0 * * 
 0  0  33255.64  9999.99 29 * 000838.0 * * 
 0  0  33256.85  9999.99 29 * 000840.0 * * 
 0  0  33255.98  9999.99 29 * 000842.0 * * 
 0  0  33255.93  9999.99 29 * 000844.0 * * 
 0  0  33254.97  9999.99 29 * 000846.0 * * 
 0  0  33255.30  9999.99 29 * 000848.0 * * 
 0  0  33256.80  9999.99 29 * 000850.0 * * 
 0  0  33255.96  9999.99 29 * 000852.0 * * 
 0  0  33257.76  9999.99 29 * 000854.0 * * 
 0  0  33255.66  9999.99 29 * 000856.0 * * 
 0  0  33256.61  9999.99 29 * 000858.0 * * 
 0  0  33255.63  9999.99 29 * 000900.0 * * 
 0  0  33255.89  9999.99 29 * 000902.0 * * 
 0  0  33255.63  9999.99 29 * 000904.0 * * 
 0  0  33256.85  9999.99 29 * 000906.0 * * 
 0  0  33256.99  9999.99 29 * 000908.0 * * 
 0  0  33256.02  9999.99 29 * 000946.0 * * 
 0  0  33257.03  9999.99 29 * 000948.0 * * 
 0  0  33256.46  9999.99 29 * 000950.0 * * 
 0  0  33255.84  9999.99 29 * 000952.0 * * 
 0  0  33255.95  9999.99 29 * 000954.0 * * 
 0  0  33256.78  9999.99 29 * 000956.0 * * 
 0  0  33256.37  9999.99 29 * 000958.0 * * 
 0  0  33256.28  9999.99 29 * 001000.0 * * 
 0  0  33255.72  9999.99 29 * 001002.0 * * 
 0  0  33255.62  9999.99 29 * 001004.0 * * 
 0  0  33256.21  9999.99 29 * 001006.0 * * 
 0  0  33257.25  9999.99 29 * 001008.0 * * 
 0  0  33256.08  9999.99 29 * 001010.0 * * 
 0  0  33256.42  9999.99 29 * 001012.0 * * 
 0  0  33255.80  9999.99 29 * 001014.0 * * 
 0  0  33256.76  9999.99 29 * 001016.0 * * 
 0  0  33255.00  9999.99 29 * 001018.0 * * 
 0  0  33256.85  9999.99 29 * 001020.0 * * 
 0  0  33255.25  9999.99 29 * 001022.0 * * 
 0  0  33256.75  9999.99 29 * 001024.0 * * 
 0  0  33256.35  9999.99 29 * 001026.0 * * 
 0  0  33255.51  9999.99 29 * 001028.0 * * 
 0  0  33256.41  9999.99 29 * 001030.0 * * 
 0  0  33256.15  9999.99 29 * 001032.0 * * 
 0  0  33255.76  9999.99 29 * 001034.0 * * 
 0  0  33256.19  9999.99 29 * 001036.0 * * 
/ 001100.0 a1
 0  0  33258.03  9999.99 29 * 001128.0  0  0 
 0  0  33257.33  9999.99 29 * 001130.0 * * 
 0  0  33257.20  9999.99 29 * 001132.0 * * 
 0  0  33257.24  9999.99 29 * 001134.0 * * 
 0  0  33267.67  9999.99 29 * 001136.0 * * 
 0  0  33256.58  9999.99 29 * 001138.0 * * 
 0  0  33286.16  9999.99 29 * 001140.0 * * 
 0  0  33254.64  9999.99 49 * 001142.0 * * 
 0  0  32832.56  9999.99 59 * 001144.0 * * 
 0  0  32700.58  9999.99 99 * 001146.0 * * 
 0  0  32939.58  4242.21 99 * 001148.0 * * 
 0  0  32993.45  9999.99 99 * 001150.0 * * 
 0  0  32954.41  9999.99 99 * 001152.0 * * 
 0  0  32934.92  9999.99 99 * 001154.0 * * 
 0  0  32933.11  9999.99 99 * 001156.0 * * 
 0  0  32932.74  9999.99 99 * 001158.0 * * 
 0  0  32932.72  9999.99 99 * 001200.0 * * 
 0  0  32932.78  9999.99 99 * 001202.0 * * 
 0  0  32932.46  9999.99 99 * 001204.0 * * 
